listing_id,date,city,district,rooms,area_sqm,floor,total_floors,has_elevator,year_built,distance_center_km,postal_code,price_sqm,price_total
592936,2024-01-29,Wroclaw,Biskupin,5.0,80.9,4.0,17.0,1.0,2004.0,6.22,11-342,5988,484425
350444,2024-02-15,Poznan,Wilda,1.0,45.9,9.0,5.0,1.0,1961.0,2.81,68-129,6938,318472
697714,2023-11-09,Poznan,Nowe Miasto,3.0,91.0,11.0,7.0,1.0,2010.0,13.67,38-591,3500,318500
547688,2025-06-15,Lodz,Gorny,4.0,62.6,2.0,8.0,0.0,1994.0,13.56,63-453,3500,219100
582856,2024-08-09,Poznan,Wilda,2.0,64.6,7.0,11.0,1.0,2001.0,1.47,50-223,7617,492067
632569,2023-10-26,Poznan,Nowe Miasto,5.0,84.2,1.0,11.0,1.0,2023.0,3.97,84-747,5533,465842
342315,2024-05-26,Krakow,Bronowice,3.0,84.2,11.0,10.0,1.0,1997.0,8.67,90-107,5611,472445
359682,2023-12-01,Wroclaw,Oporow,3.0,76.1,6.0,12.0,1.0,1997.0,6.93,27-381,4623,351790
524215,2023-11-19,Krakow,Czyzyny,5.0,81.4,14.0,7.0,1.0,,0.81,50-192,10842,882579
88106,2024-09-06,Krakow,Bronowice,2.0,101.6,14.0,17.0,1.0,1961.0,0.58,55-835,11027,1120348
155147,2025-03-11,Gdansk,Wrzeszcz,4.0,75.3,9.0,6.0,1.0,2010.0,1.29,30-557,10813,814208
280108,2023-10-13,Lodz,Karolew,2.0,52.0,5.0,11.0,1.0,1968.0,8.01,56-784,3500,182000
401987,2024-02-02,Warszawa,Bielany,3.0,73.3,8.0,13.0,1.0,2017.0,1.92,48-812,10931,801230
639050,2025-06-12,Lodz,Gorny,3.0,83.1,8.0,8.0,1.0,1995.0,6.12,79-510,4019,333973
395720,2025-03-12,Warszawa,Bielany,4.0,126.5,10.0,11.0,1.0,1960.0,3.61,27-285,8668,1096449
52039,2024-08-26,Poznan,Grunwald,1.0,79.4,0.0,11.0,1.0,1983.0,8.86,85-433,4241,336712
447423,2025-07-26,Warszawa,Zoliborz,4.0,61.4,6.0,16.0,1.0,1969.0,15.37,44-814,4258,261454
132753,2025-04-08,Krakow,Zwierzyniec,1.0,57.6,2.0,17.0,1.0,1985.0,3.56,13-414,8891,512102
5414,2025-07-19,Warszawa,Bielany,5.0,66.6,3.0,9.0,1.0,1991.0,1.78,29-548,10704,712870
702940,2024-12-19,Poznan,Wilda,4.0,91.0,9.0,11.0,1.0,1962.0,3.24,71-491,6111,556104
157681,2024-01-10,Wroclaw,Stare Miasto,5.0,89.2,11.0,15.0,1.0,2006.0,6.0,63-455,7849,700146
275724,2024-08-17,Wroclaw,Krzyki,2.0,75.5,,15.0,1.0,2002.0,7.5,62-163,5339,403112
344416,2025-06-04,Warszawa,Wola,2.0,102.0,14.0,16.0,1.0,1980.0,8.57,31-758,7816,797230
356501,2024-01-02,Krakow,Czyzyny,2.0,65.5,4.0,9.0,0.0,,13.4,89-677,3500,229250
203809,2025-08-27,Warszawa,Zoliborz,5.0,70.3,9.0,10.0,0.0,2009.0,4.28,39-100,8074,567589
85551,2024-07-22,Krakow,Czyzyny,5.0,120.4,12.0,12.0,1.0,2014.0,2.41,16-154,8962,1079008
